queueingTime:vector Net.sys (#0 - Net1-0-20230829-18:31:09-1522),
0.636699603653,0
1.35554791444,0
2.8432312841,0
4.404467552808,0
5.90763879617,0
6.689243937285,0
7.077346468262,0
7.52323296914,0.116651454294000005
7.7149537298,0.053687302280999993
8.110816246514,0.75094246694199995
8.592647628543,0.411824122422999926
9.51859246638,0
10.041698520157,0
10.504496836771,0.063700709401000004
11.88749153879,0
12.216753935784,0
13.05244394243,0
13.46875386385,0.048911411616000002
15.939978395175,0
16.374984467803,0.314021389696000018
17.693676850836,0
18.207044188978,0
19.498245848892,0
20.086217385844,0
20.994968539212,0
22.015150700991,0
22.713007657025,0
23.329675383799,0
24.466767127874,0
24.674098098433,0.117774042052999988
25.069679818005,0
25.456796661257,0.222154217627999971
26.302874591328,0
26.587091565491,0.088978181574000003
26.614335805751,0
26.927752454292,0
27.233800315523,0.176338669673999969
27.542267314849,0.283652123340000004
28.01414135249,0.364680521534999966
29.512591530326,0
29.990788391781,0
30.750384058578,0
32.611464907933,0
32.695113888553,0
35.495284836117,0
36.342352141307,0
36.492292994121,0
36.847016217017,0
37.95825036885,0
38.707099616667,0
39.02158966251,0
39.240890419207,0.187954231566999973
39.857632991773,0
42.411990305416,0
43.258251436098,0
44.064666832434,0
48.352747112629,0
49.05027979553,0
49.478331537197,0
49.993356338479,0
50.774847597736,0
51.104848581674,0
52.003383222901,0
52.3086278976,0
53.513936164218,0
55.9036880777,0
56.772703582403,0
56.821254217979,0.037618972830999991
57.563716792473,0
58.459568285076,0
61.318438982952,0
63.002696023586,0
63.572762898253,0
63.87518565726,0.256561217868000012
64.244817447932,0.146235499226999964
64.264411342414,0.14967729119199996
64.581036762316,0
67.694292860592,0
68.050628430128,0
68.575145457619,0
69.508644278858,0
71.208034036459,0
73.211163462927,0
73.557399522602,0.15071970121
74.072954634245,0
75.675547052251,0
76.244545402025,0
78.233011287606,0
80.265254893973,0
80.729902992891,0.127438780091999991
80.795801923894,0.461130644048999947
80.955086401365,0.360142789096999925
82.0803263336,0
82.913750856944,0
84.386776834134,0
84.632791013144,0
85.038551111749,0
85.68238903159,0
86.096859045752,0.27026821257400002
86.195975550014,0
86.534883819666,0.21223506466799996
86.997115180717,0
87.970322103466,0
88.451416375924,0.208816881869999969
88.696922816838,0
89.825742344274,0
90.229217389544,0
92.040204250233,0
92.855131234248,0
94.632336753027,0
95.544023123853,0
96.021126639317,0
99.095531905912,0
99.244250381742,0.049897157939999991
100.359808070653,0
