processTimeValues:vector Net.sys (#0 - Net1-0-20230829-18:31:09-1522),
0.636699603653,0.357594682485799951
1.35554791444,0.301381685188970015
2.8432312841,0.272441588691439971
4.404467552808,0.21182739839422998
5.90763879617,0.322947057546119963
6.689243937285,0.218793604988600008
7.077346468262,0.445886500878259982
7.359873779572,0.481831382028759967
7.406581514846,0.19172076066025001
7.661266427519,0.395862516714259981
8.18082350612,0.264447460765949936
9.51859246638,0.284022281877699955
10.041698520157,0.462798316613770019
10.44079612737,0.035518029355444
11.88749153879,0.043564648483880002
12.216753935784,0.010109199560247
13.05244394243,0.416309921420179971
13.419842452234,0.389078378444539961
15.939978395175,0.435006072628309923
16.060963078107,0.489309171447529942
17.693676850836,0.399579281918699955
18.207044188978,0.230739681399429962
19.498245848892,0.39026458782609996
20.086217385844,0.05913721187971499
20.994968539212,0.319960508495570005
22.015150700991,0.071676642750389984
22.713007657025,0.472334459307599983
23.329675383799,0.260924164089370024
24.466767127874,0.207330970559269965
24.55632405638,0.132277805707419981
25.069679818005,0.38711684325244
25.234642443629,0.228075167979109981
26.302874591328,0.284216974163429946
26.498113383917,0.009394899010658298
26.614335805751,0.308817750425079971
26.927752454292,0.306047861231489969
27.057461645849,0.308466999325899936
27.258615191509,0.471874037641099917
27.649460830955,0.340910148923289967
29.512591530326,0.179753951029849977
29.990788391781,0.218515976332129989
30.750384058578,0.348815597710199985
32.611464907933,0.030112733249552998
32.695113888553,0.333383355638939947
35.495284836117,0.335318936849939962
36.342352141307,0.105191280832510002
36.492292994121,0.064463149174116995
36.847016217017,0.157714174827560004
37.95825036885,0.181855386705140008
38.707099616667,0.285098387976179922
39.02158966251,0.219300756696609976
39.05293618764,0.494186915922909974
39.857632991773,0.05102240340784199
42.411990305416,0.104438379290510002
43.258251436098,0.080654755583963982
44.064666832434,0.326554161030799926
48.352747112629,0.126645800657569973
49.05027979553,0.233155386405999975
49.478331537197,0.122212794027289988
49.993356338479,0.079484793241135997
50.774847597736,0.055187569581904002
51.104848581674,0.328164795995689928
52.003383222901,0.069091474753805004
52.3086278976,0.098291178350336988
53.513936164218,0.184362582862379997
55.9036880777,0.410496615455489986
56.772703582403,0.048550635576248002
56.783635245148,0.418972453335299975
57.563716792473,0.048049200559034998
58.459568285076,0.488229732611219932
61.318438982952,0.234325599158179963
63.002696023586,0.488380545401009945
63.572762898253,0.302422759006729989
63.618624439392,0.369631790672430014
64.098581948705,0.019593894481658997
64.114734051222,0.141403479734440006
64.581036762316,0.060098282294347993
67.694292860592,0.148070099647160002
68.050628430128,0.059363857144489995
68.575145457619,0.158991586649789961
69.508644278858,0.207131494185889996
71.208034036459,0.032073750509879997
73.211163462927,0.346236059674989935
73.406679821392,0.283300724229779919
74.072954634245,0.132694745552729975
75.675547052251,0.261624026461499957
76.244545402025,0.046970252995378991
78.233011287606,0.287973247584889956
80.265254893973,0.464648098917679994
80.334671279845,0.159284477471369977
80.594943612268,0.333705188124439942
80.602464212799,0.06589893100317598
82.0803263336,0.35816359892487992
82.913750856944,0.144703045487399983
84.386776834134,0.091595681733452005
84.632791013144,0.293256466509769996
85.038551111749,0.010053775273262999
85.68238903159,0.414470014162359955
85.826590833178,0.002347741043195099
86.195975550014,0.338908269652170022
86.322648754998,0.135003984323699976
86.997115180717,0.367597010219469997
87.970322103466,0.481094272457989967
88.242599494054,0.124376569874579983
88.696922816838,0.288078667945229959
89.825742344274,0.296020963229239984
90.229217389544,0.286125950748099987
92.040204250233,0.111540815327319991
92.855131234248,0.47637450462206998
94.632336753027,0.223562689265239976
95.544023123853,0.423204333055759994
96.021126639317,0.34973963873926994
99.095531905912,0.148718475829809959
99.194353223802,0.406898909830489928
100.359808070653,0.198252869420679988
